state,candidate,party,votes
Texas,Trump,REP,2210
Texas,Biden,DEM,1108
Texas,Jorgensen,LIB,26
Texas,Hawkins,GRN,21
Texas,Trump,REP,529
Texas,Biden,DEM,17
Texas,Jorgensen,LIB,4
Texas,Hawkins,GRN,0
Texas,Trump,REP,5631
Texas,Biden,DEM,2359
Texas,Jorgensen,LIB,66
Texas,Hawkins,GRN,13
Texas,Trump,REP,38842
Texas,Biden,DEM,18149
Texas,Jorgensen,LIB,642
Texas,Hawkins,GRN,132
Texas,Trump,REP,3682
Texas,Biden,DEM,531
Texas,Jorgensen,LIB,38
Texas,Hawkins,GRN,11
Texas,Trump,REP,16511
Texas,Biden,DEM,4624
Texas,Jorgensen,LIB,154
Texas,Hawkins,GRN,50
Texas,Trump,REP,4767
Texas,Biden,DEM,662
Texas,Jorgensen,LIB,25
Texas,Hawkins,GRN,7
Texas,Trump,REP,3005
Texas,Biden,DEM,979
Texas,Jorgensen,LIB,12
Texas,Hawkins,GRN,2
Texas,Trump,REP,10154
Texas,Biden,DEM,2332
Texas,Jorgensen,LIB,101
Texas,Hawkins,GRN,39
Texas,Trump,REP,16495
Texas,Biden,DEM,8971
Texas,Jorgensen,LIB,289
Texas,Hawkins,GRN,93
Texas,Trump,REP,2308
Texas,Biden,DEM,287
Texas,Jorgensen,LIB,7
Texas,Hawkins,GRN,0
Texas,Trump,REP,939
Texas,Biden,DEM,211
Texas,Jorgensen,LIB,6
Texas,Hawkins,GRN,2
Texas,Trump,REP,4978
Texas,Biden,DEM,818
Texas,Jorgensen,LIB,53
Texas,Hawkins,GRN,15
Texas,Trump,REP,1484
Texas,Biden,DEM,130
Texas,Jorgensen,LIB,10
Texas,Hawkins,GRN,4
Texas,Trump,REP,7962
Texas,Biden,DEM,2058
Texas,Jorgensen,LIB,36
Texas,Hawkins,GRN,4
Texas,Trump,REP,885
Texas,Biden,DEM,91
Texas,Jorgensen,LIB,9
Texas,Hawkins,GRN,5
Texas,Trump,REP,68546
Texas,Biden,DEM,29343
Texas,Jorgensen,LIB,1121
Texas,Hawkins,GRN,253
Texas,Trump,REP,4099
Texas,Biden,DEM,768
Texas,Jorgensen,LIB,56
Texas,Hawkins,GRN,10
Texas,Biden,DEM,9099
Texas,Trump,REP,8224
Texas,Jorgensen,LIB,91
Texas,Hawkins,GRN,63
Texas,Trump,REP,3385
Texas,Biden,DEM,396
Texas,Jorgensen,LIB,16
Texas,Hawkins,GRN,2
Texas,Trump,REP,584
Texas,Biden,DEM,51
Texas,Hawkins,GRN,3
Texas,Jorgensen,LIB,1
Texas,Trump,REP,615
Texas,Biden,DEM,116
Texas,Jorgensen,LIB,4
Texas,Hawkins,GRN,1
Texas,Trump,REP,1222
Texas,Biden,DEM,322
Texas,Jorgensen,LIB,9
Texas,Hawkins,GRN,4
Texas,Trump,REP,1842
Texas,Biden,DEM,478
Texas,Jorgensen,LIB,22
Texas,Hawkins,GRN,10
Texas,Biden,DEM,409067
Texas,Trump,REP,407702
Texas,Jorgensen,LIB,10332
Texas,Hawkins,GRN,2600
Texas,Trump,REP,39439
Texas,Biden,DEM,14489
Texas,Jorgensen,LIB,825
Texas,Hawkins,GRN,148
Texas,Trump,REP,334
Texas,Biden,DEM,119
Texas,Jorgensen,LIB,3
Texas,Hawkins,GRN,2
Texas,Trump,REP,2809
Texas,Biden,DEM,757
Texas,Jorgensen,LIB,33
Texas,Hawkins,GRN,9
Texas,Trump,REP,806
Texas,Biden,DEM,82
Texas,Jorgensen,LIB,5
Texas,Hawkins,GRN,1
Texas,Trump,REP,7563
Texas,Biden,DEM,2852
Texas,Jorgensen,LIB,94
Texas,Hawkins,GRN,19
Texas,Trump,REP,32129
Texas,Biden,DEM,12106
Texas,Jorgensen,LIB,539
Texas,Hawkins,GRN,96
Texas,Biden,DEM,432062
Texas,Trump,REP,159907
Texas,Jorgensen,LIB,8842
Texas,Hawkins,GRN,2078
Texas,Trump,REP,5579
Texas,Biden,DEM,1323
Texas,Jorgensen,LIB,25
Texas,Hawkins,GRN,11
Texas,Trump,REP,8095
Texas,Biden,DEM,1390
Texas,Jorgensen,LIB,51
Texas,Hawkins,GRN,11
Texas,Trump,REP,15775
Texas,Biden,DEM,2869
Texas,Jorgensen,LIB,179
Texas,Hawkins,GRN,22
Texas,Trump,REP,1176
Texas,Biden,DEM,169
Texas,Jorgensen,LIB,13
Texas,Hawkins,GRN,7
Texas,Trump,REP,6160
Texas,Biden,DEM,4066
Texas,Jorgensen,LIB,66
Texas,Hawkins,GRN,29
Texas,Trump,REP,7839
Texas,Biden,DEM,6401
Texas,Jorgensen,LIB,132
Texas,Hawkins,GRN,45
Texas,Trump,REP,22126
Texas,Biden,DEM,3419
Texas,Jorgensen,LIB,175
Texas,Hawkins,GRN,33
Texas,Trump,REP,23347
Texas,Biden,DEM,10371
Texas,Jorgensen,LIB,338
Texas,Hawkins,GRN,103
Texas,Trump,REP,15368
Texas,Biden,DEM,7875
Texas,Jorgensen,LIB,286
Texas,Hawkins,GRN,63
Texas,Trump,REP,14206
Texas,Biden,DEM,8130
Texas,Jorgensen,LIB,199
Texas,Hawkins,GRN,82
Texas,Trump,REP,3238
Texas,Biden,DEM,761
Texas,Jorgensen,LIB,29
Texas,Hawkins,GRN,6
Texas,Trump,REP,12949
Texas,Biden,DEM,4254
Texas,Jorgensen,LIB,178
Texas,Hawkins,GRN,20
Texas,Biden,DEM,41820
Texas,Trump,REP,25898
Texas,Jorgensen,LIB,446
Texas,Hawkins,GRN,233
Texas,Trump,REP,11892
Texas,Biden,DEM,4671
Texas,Jorgensen,LIB,105
Texas,Hawkins,GRN,36
Texas,Trump,REP,2158
Texas,Biden,DEM,168
Texas,Jorgensen,LIB,7
Texas,Hawkins,GRN,3
Texas,Trump,REP,31930
Texas,Biden,DEM,13024
Texas,Jorgensen,LIB,664
Texas,Hawkins,GRN,125
Texas,Trump,REP,3520
Texas,Biden,DEM,954
Texas,Jorgensen,LIB,33
Texas,Hawkins,GRN,11
Texas,Biden,DEM,3097
Texas,Trump,REP,2437
Texas,Jorgensen,LIB,25
Texas,Hawkins,GRN,16
Texas,Biden,DEM,142457
Texas,Trump,REP,138649
Texas,Jorgensen,LIB,4961
Texas,Hawkins,GRN,782
Texas,Trump,REP,18457
Texas,Biden,DEM,6350
Texas,Jorgensen,LIB,150
Texas,Hawkins,GRN,39
Texas,Trump,REP,1753
Texas,Biden,DEM,358
Texas,Jorgensen,LIB,14
Texas,Hawkins,GRN,1
Texas,Trump,REP,26986
Texas,Biden,DEM,4953
Texas,Jorgensen,LIB,308
Texas,Hawkins,GRN,47
Texas,Trump,REP,18962
Texas,Biden,DEM,3487
Texas,Jorgensen,LIB,175
Texas,Hawkins,GRN,40
Texas,Trump,REP,2172
Texas,Biden,DEM,419
Texas,Jorgensen,LIB,31
Texas,Hawkins,GRN,6
Texas,Trump,REP,7112
Texas,Biden,DEM,1036
Texas,Jorgensen,LIB,76
Texas,Hawkins,GRN,18
Texas,Trump,REP,2032
Texas,Biden,DEM,1820
Texas,Jorgensen,LIB,11
Texas,Hawkins,GRN,4
Texas,Biden,DEM,2864
Texas,Trump,REP,1490
Texas,Jorgensen,LIB,13
Texas,Hawkins,GRN,12
Utah,Trump,REP,2673
Utah,Biden,DEM,356
Utah,Jorgensen,LIB,23
Utah,Kanye West,IND,7
Utah,Hawkins,GRN,6
Utah,Blankenship,CST,4
Utah,Riva,PSL,3
Utah,Trump,REP,20660
Utah,Biden,DEM,4280
Utah,Jorgensen,LIB,579
Utah,Blankenship,CST,128
Utah,Kanye West,IND,109
Utah,Hawkins,GRN,52
Utah,Riva,PSL,16
Utah,Trump,REP,34377
Utah,Biden,DEM,15246
Utah,Jorgensen,LIB,1627
Utah,Blankenship,CST,333
Utah,Kanye West,IND,202
Utah,Hawkins,GRN,198
Utah,Riva,PSL,51
Utah,Trump,REP,6255
Utah,Biden,DEM,2306
Utah,Jorgensen,LIB,138
Utah,Kanye West,IND,42
Utah,Blankenship,CST,21
Utah,Hawkins,GRN,17
Utah,Riva,PSL,3
Utah,Trump,REP,473
Utah,Biden,DEM,105
Utah,Jorgensen,LIB,7
Utah,Blankenship,CST,2
Utah,Kanye West,IND,2
Utah,Hawkins,GRN,0
Utah,Riva,PSL,0
Utah,Trump,REP,89326
Utah,Biden,DEM,51697
Utah,Jorgensen,LIB,4056
Utah,Kanye West,IND,825
Utah,Blankenship,CST,702
Utah,Hawkins,GRN,480
Utah,Riva,PSL,101
Utah,Trump,REP,7445
Utah,Biden,DEM,830
Utah,Jorgensen,LIB,106
Utah,Blankenship,CST,21
Utah,Kanye West,IND,18
Utah,Hawkins,GRN,9
Utah,Riva,PSL,3
Utah,Trump,REP,4166
Utah,Biden,DEM,566
Utah,Jorgensen,LIB,45
Utah,Kanye West,IND,15
Utah,Hawkins,GRN,8
Utah,Blankenship,CST,4
Utah,Riva,PSL,2
Utah,Trump,REP,2149
Utah,Biden,DEM,513
Utah,Jorgensen,LIB,37
Utah,Hawkins,GRN,11
Utah,Blankenship,CST,3
Utah,Kanye West,IND,2
Utah,Riva,PSL,1
Utah,Biden,DEM,2733
Utah,Trump,REP,2168
Utah,Jorgensen,LIB,61
Utah,Hawkins,GRN,22
Utah,Kanye West,IND,18
Utah,Blankenship,CST,5
Utah,Riva,PSL,1
Utah,Trump,REP,18113
Utah,Biden,DEM,4673
Utah,Jorgensen,LIB,626
Utah,Blankenship,CST,84
Utah,Kanye West,IND,81
Utah,Hawkins,GRN,73
Utah,Riva,PSL,20
Utah,Trump,REP,5069
Utah,Biden,DEM,638
Utah,Jorgensen,LIB,89
Utah,Blankenship,CST,16
Utah,Kanye West,IND,12
Utah,Hawkins,GRN,5
Utah,Riva,PSL,1
Utah,Trump,REP,2777
Utah,Biden,DEM,1005
Utah,Jorgensen,LIB,47
Utah,Blankenship,CST,15
Utah,Kanye West,IND,13
Utah,Hawkins,GRN,7
Utah,Riva,PSL,0
Utah,Trump,REP,4267
Utah,Biden,DEM,529
Utah,Jorgensen,LIB,42
Utah,Blankenship,CST,23
Utah,Kanye West,IND,10
Utah,Hawkins,GRN,4
Utah,Riva,PSL,1
Utah,Trump,REP,4957
Utah,Biden,DEM,1060
Utah,Jorgensen,LIB,155
Utah,Kanye West,IND,33
Utah,Blankenship,CST,21
Utah,Hawkins,GRN,13
Utah,Riva,PSL,0
Utah,Trump,REP,773
Utah,Biden,DEM,86
Utah,Jorgensen,LIB,7
Utah,Kanye West,IND,3
Utah,Blankenship,CST,1
Utah,Riva,PSL,1
Utah,Hawkins,GRN,0
Utah,Trump,REP,1118
Utah,Biden,DEM,178
Utah,Jorgensen,LIB,14
Utah,Kanye West,IND,3
Utah,Blankenship,CST,2
Utah,Hawkins,GRN,2
Utah,Riva,PSL,0
Utah,Biden,DEM,237188
Utah,Trump,REP,174931
Utah,Jorgensen,LIB,7899
Utah,Kanye West,IND,1744
Utah,Hawkins,GRN,1530
Utah,Blankenship,CST,1139
Utah,Riva,PSL,381
Utah,Trump,REP,2634
Utah,Biden,DEM,2451
Utah,Jorgensen,LIB,68
Utah,Kanye West,IND,31
Utah,Blankenship,CST,16
Utah,Hawkins,GRN,10
Utah,Riva,PSL,3
Utah,Trump,REP,9961
Utah,Biden,DEM,1724
Utah,Jorgensen,LIB,205
Utah,Blankenship,CST,48
Utah,Kanye West,IND,37
Utah,Hawkins,GRN,18
Utah,Riva,PSL,7
Utah,Trump,REP,8427
Utah,Biden,DEM,1032
Utah,Jorgensen,LIB,123
Utah,Blankenship,CST,28
Utah,Kanye West,IND,27
Utah,Hawkins,GRN,12
Utah,Riva,PSL,3
Utah,Biden,DEM,14947
Utah,Trump,REP,9928
Utah,Jorgensen,LIB,351
Utah,Kanye West,IND,82
Utah,Hawkins,GRN,60
Utah,Blankenship,CST,24
Utah,Riva,PSL,12
Utah,Trump,REP,19531
Utah,Biden,DEM,8498
Utah,Jorgensen,LIB,891
Utah,Blankenship,CST,173
Utah,Kanye West,IND,137
Utah,Hawkins,GRN,79
Utah,Riva,PSL,29
Utah,Trump,REP,12777
Utah,Biden,DEM,1601
Utah,Jorgensen,LIB,212
Utah,Blankenship,CST,53
Utah,Kanye West,IND,37
Utah,Hawkins,GRN,27
Utah,Riva,PSL,4
Utah,Trump,REP,173856
Utah,Biden,DEM,69386
Utah,Jorgensen,LIB,9035
Utah,Kanye West,IND,1435
Utah,Blankenship,CST,1240
Utah,Hawkins,GRN,729
Utah,Riva,PSL,147
Utah,Trump,REP,9953
Utah,Biden,DEM,5762
Utah,Jorgensen,LIB,326
Utah,Kanye West,IND,74
Utah,Blankenship,CST,51
Utah,Hawkins,GRN,41
Utah,Riva,PSL,6
Utah,Trump,REP,65601
Utah,Biden,DEM,20065
Utah,Jorgensen,LIB,1685
Utah,Kanye West,IND,278
Utah,Blankenship,CST,216
Utah,Hawkins,GRN,180
Utah,Riva,PSL,32
Utah,Trump,REP,1207
Utah,Biden,DEM,362
Utah,Jorgensen,LIB,9
Utah,Kanye West,IND,7
Utah,Blankenship,CST,3
Utah,Hawkins,GRN,3
Utah,Riva,PSL,2
Utah,Trump,REP,64066
Utah,Biden,DEM,39652
Utah,Jorgensen,LIB,2757
Utah,Kanye West,IND,510
Utah,Hawkins,GRN,467
Utah,Blankenship,CST,407
Utah,Riva,PSL,53
Vermont,Biden,DEM,406
Vermont,Trump,REP,149
Vermont,Jorgensen,LIB,6
Vermont,Hawkins,GRN,5
Vermont,Kanye West,IND,4
Vermont,Blankenship,CST,1
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,144
Vermont,Trump,REP,139
Vermont,Jorgensen,LIB,4
Vermont,Kanye West,IND,2
Vermont,Blankenship,CST,1
Vermont,Fuente,ALI,0
Vermont,Hawkins,GRN,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,2657
Vermont,Trump,REP,904
Vermont,Jorgensen,LIB,28
Vermont,Hawkins,GRN,9
Vermont,Kanye West,IND,8
Vermont,Blankenship,CST,3
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,994
Vermont,Trump,REP,528
Vermont,Jorgensen,LIB,29
Vermont,Hawkins,GRN,7
Vermont,Kanye West,IND,5
Vermont,Blankenship,CST,2
Vermont,Riva,PSL,2
Vermont,Fuente,ALI,0
Vermont,Biden,DEM,190
Vermont,Trump,REP,129
Vermont,Jorgensen,LIB,4
Vermont,Hawkins,GRN,2
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Kanye West,IND,0
Vermont,Biden,DEM,0
Vermont,Trump,REP,0
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Hawkins,GRN,0
Vermont,Jorgensen,LIB,0
Vermont,Riva,PSL,0
Vermont,Kanye West,IND,0
Vermont,Biden,DEM,296
Vermont,Trump,REP,230
Vermont,Jorgensen,LIB,8
Vermont,Blankenship,CST,1
Vermont,Kanye West,IND,1
Vermont,Fuente,ALI,0
Vermont,Hawkins,GRN,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,25
Vermont,Trump,REP,23
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Hawkins,GRN,0
Vermont,Jorgensen,LIB,0
Vermont,Riva,PSL,0
Vermont,Kanye West,IND,0
Vermont,Biden,DEM,723
Vermont,Trump,REP,211
Vermont,Jorgensen,LIB,8
Vermont,Kanye West,IND,3
Vermont,Hawkins,GRN,2
Vermont,Riva,PSL,1
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Biden,DEM,744
Vermont,Trump,REP,347
Vermont,Jorgensen,LIB,8
Vermont,Hawkins,GRN,4
Vermont,Kanye West,IND,4
Vermont,Fuente,ALI,1
Vermont,Riva,PSL,1
Vermont,Blankenship,CST,0
Vermont,Biden,DEM,624
Vermont,Trump,REP,437
Vermont,Hawkins,GRN,8
Vermont,Jorgensen,LIB,6
Vermont,Kanye West,IND,1
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Trump,REP,273
Vermont,Biden,DEM,201
Vermont,Hawkins,GRN,3
Vermont,Jorgensen,LIB,2
Vermont,Fuente,ALI,1
Vermont,Kanye West,IND,1
Vermont,Blankenship,CST,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,718
Vermont,Trump,REP,473
Vermont,Jorgensen,LIB,13
Vermont,Hawkins,GRN,10
Vermont,Kanye West,IND,5
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Trump,REP,366
Vermont,Biden,DEM,243
Vermont,Jorgensen,LIB,8
Vermont,Hawkins,GRN,4
Vermont,Kanye West,IND,3
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,1207
Vermont,Trump,REP,1136
Vermont,Jorgensen,LIB,29
Vermont,Kanye West,IND,9
Vermont,Blankenship,CST,6
Vermont,Hawkins,GRN,6
Vermont,Riva,PSL,2
Vermont,Fuente,ALI,1
Vermont,Trump,REP,74
Vermont,Biden,DEM,67
Vermont,Blankenship,CST,1
Vermont,Fuente,ALI,0
Vermont,Hawkins,GRN,0
Vermont,Jorgensen,LIB,0
Vermont,Riva,PSL,0
Vermont,Kanye West,IND,0
Vermont,Biden,DEM,1985
Vermont,Trump,REP,732
Vermont,Jorgensen,LIB,21
Vermont,Kanye West,IND,7
Vermont,Hawkins,GRN,5
Vermont,Riva,PSL,1
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Biden,DEM,528
Vermont,Trump,REP,94
Vermont,Hawkins,GRN,5
Vermont,Jorgensen,LIB,5
Vermont,Fuente,ALI,2
Vermont,Kanye West,IND,1
Vermont,Blankenship,CST,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,586
Vermont,Trump,REP,336
Vermont,Hawkins,GRN,10
Vermont,Jorgensen,LIB,8
Vermont,Blankenship,CST,2
Vermont,Riva,PSL,2
Vermont,Kanye West,IND,2
Vermont,Fuente,ALI,1
Vermont,Biden,DEM,445
Vermont,Trump,REP,314
Vermont,Jorgensen,LIB,6
Vermont,Kanye West,IND,4
Vermont,Hawkins,GRN,3
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,3476
Vermont,Trump,REP,732
Vermont,Jorgensen,LIB,39
Vermont,Hawkins,GRN,16
Vermont,Kanye West,IND,11
Vermont,Riva,PSL,4
Vermont,Blankenship,CST,2
Vermont,Fuente,ALI,0
Vermont,Biden,DEM,2380
Vermont,Trump,REP,1298
Vermont,Jorgensen,LIB,38
Vermont,Kanye West,IND,19
Vermont,Hawkins,GRN,18
Vermont,Blankenship,CST,3
Vermont,Riva,PSL,1
Vermont,Fuente,ALI,0
Vermont,Biden,DEM,977
Vermont,Trump,REP,231
Vermont,Jorgensen,LIB,12
Vermont,Hawkins,GRN,5
Vermont,Kanye West,IND,3
Vermont,Blankenship,CST,1
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,308
Vermont,Trump,REP,225
Vermont,Jorgensen,LIB,3
Vermont,Kanye West,IND,2
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Hawkins,GRN,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,3268
Vermont,Trump,REP,2567
Vermont,Jorgensen,LIB,66
Vermont,Kanye West,IND,31
Vermont,Hawkins,GRN,10
Vermont,Blankenship,CST,7
Vermont,Riva,PSL,3
Vermont,Fuente,ALI,0
Vermont,Biden,DEM,960
Vermont,Trump,REP,395
Vermont,Jorgensen,LIB,18
Vermont,Kanye West,IND,4
Vermont,Hawkins,GRN,2
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,449
Vermont,Trump,REP,278
Vermont,Jorgensen,LIB,10
Vermont,Hawkins,GRN,3
Vermont,Kanye West,IND,2
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,4576
Vermont,Trump,REP,468
Vermont,Hawkins,GRN,41
Vermont,Jorgensen,LIB,30
Vermont,Kanye West,IND,10
Vermont,Blankenship,CST,1
Vermont,Riva,PSL,1
Vermont,Fuente,ALI,0
Vermont,Biden,DEM,904
Vermont,Trump,REP,220
Vermont,Kanye West,IND,4
Vermont,Jorgensen,LIB,3
Vermont,Hawkins,GRN,2
Vermont,Blankenship,CST,1
Vermont,Riva,PSL,1
Vermont,Fuente,ALI,0
Vermont,Trump,REP,218
Vermont,Biden,DEM,172
Vermont,Jorgensen,LIB,6
Vermont,Hawkins,GRN,2
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Kanye West,IND,0
Vermont,Biden,DEM,2256
Vermont,Trump,REP,833
Vermont,Jorgensen,LIB,36
Vermont,Kanye West,IND,13
Vermont,Hawkins,GRN,10
Vermont,Riva,PSL,6
Vermont,Blankenship,CST,3
Vermont,Fuente,ALI,0
Vermont,Biden,DEM,452
Vermont,Trump,REP,375
Vermont,Kanye West,IND,7
Vermont,Jorgensen,LIB,2
Vermont,Blankenship,CST,1
Vermont,Hawkins,GRN,1
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,2512
Vermont,Trump,REP,2093
Vermont,Jorgensen,LIB,57
Vermont,Kanye West,IND,25
Vermont,Hawkins,GRN,15
Vermont,Blankenship,CST,2
Vermont,Fuente,ALI,2
Vermont,Riva,PSL,0
Vermont,Trump,REP,56
Vermont,Biden,DEM,55
Vermont,Jorgensen,LIB,1
Vermont,Kanye West,IND,1
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Hawkins,GRN,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,169
Vermont,Trump,REP,159
Vermont,Jorgensen,LIB,3
Vermont,Blankenship,CST,1
Vermont,Hawkins,GRN,1
Vermont,Kanye West,IND,1
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,682
Vermont,Trump,REP,490
Vermont,Jorgensen,LIB,12
Vermont,Kanye West,IND,7
Vermont,Hawkins,GRN,4
Vermont,Blankenship,CST,2
Vermont,Riva,PSL,1
Vermont,Fuente,ALI,0
Vermont,Biden,DEM,842
Vermont,Trump,REP,261
Vermont,Hawkins,GRN,11
Vermont,Jorgensen,LIB,6
Vermont,Blankenship,CST,2
Vermont,Kanye West,IND,2
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,732
Vermont,Trump,REP,396
Vermont,Jorgensen,LIB,12
Vermont,Kanye West,IND,4
Vermont,Hawkins,GRN,1
Vermont,Riva,PSL,1
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Biden,DEM,1033
Vermont,Trump,REP,757
Vermont,Jorgensen,LIB,8
Vermont,Kanye West,IND,8
Vermont,Hawkins,GRN,5
Vermont,Blankenship,CST,2
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Trump,REP,415
Vermont,Biden,DEM,341
Vermont,Jorgensen,LIB,6
Vermont,Hawkins,GRN,1
Vermont,Kanye West,IND,1
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,1508
Vermont,Trump,REP,837
Vermont,Jorgensen,LIB,46
Vermont,Kanye West,IND,14
Vermont,Hawkins,GRN,7
Vermont,Blankenship,CST,3
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,430
Vermont,Trump,REP,250
Vermont,Hawkins,GRN,4
Vermont,Jorgensen,LIB,3
Vermont,Kanye West,IND,3
Vermont,Blankenship,CST,1
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Trump,REP,62
Vermont,Biden,DEM,44
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Hawkins,GRN,0
Vermont,Jorgensen,LIB,0
Vermont,Riva,PSL,0
Vermont,Kanye West,IND,0
Vermont,Biden,DEM,687
Vermont,Trump,REP,570
Vermont,Jorgensen,LIB,10
Vermont,Kanye West,IND,4
Vermont,Hawkins,GRN,3
Vermont,Blankenship,CST,1
Vermont,Riva,PSL,1
Vermont,Fuente,ALI,0
Vermont,Biden,DEM,2316
Vermont,Trump,REP,211
Vermont,Jorgensen,LIB,13
Vermont,Hawkins,GRN,8
Vermont,Kanye West,IND,6
Vermont,Blankenship,CST,1
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Trump,REP,324
Vermont,Biden,DEM,261
Vermont,Jorgensen,LIB,7
Vermont,Blankenship,CST,1
Vermont,Kanye West,IND,1
Vermont,Fuente,ALI,0
Vermont,Hawkins,GRN,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,367
Vermont,Trump,REP,351
Vermont,Jorgensen,LIB,7
Vermont,Hawkins,GRN,3
Vermont,Kanye West,IND,2
Vermont,Blankenship,CST,1
Vermont,Riva,PSL,1
Vermont,Fuente,ALI,0
Vermont,Biden,DEM,271
Vermont,Trump,REP,137
Vermont,Jorgensen,LIB,5
Vermont,Kanye West,IND,3
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Hawkins,GRN,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,496
Vermont,Trump,REP,369
Vermont,Jorgensen,LIB,7
Vermont,Kanye West,IND,4
Vermont,Hawkins,GRN,3
Vermont,Riva,PSL,1
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Biden,DEM,357
Vermont,Trump,REP,141
Vermont,Jorgensen,LIB,4
Vermont,Hawkins,GRN,3
Vermont,Kanye West,IND,2
Vermont,Blankenship,CST,1
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,218
Vermont,Trump,REP,71
Vermont,Kanye West,IND,3
Vermont,Hawkins,GRN,2
Vermont,Jorgensen,LIB,2
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,206
Vermont,Trump,REP,120
Vermont,Hawkins,GRN,1
Vermont,Jorgensen,LIB,1
Vermont,Kanye West,IND,1
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,896
Vermont,Trump,REP,784
Vermont,Jorgensen,LIB,13
Vermont,Hawkins,GRN,6
Vermont,Kanye West,IND,6
Vermont,Blankenship,CST,1
Vermont,Fuente,ALI,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,606
Vermont,Trump,REP,166
Vermont,Jorgensen,LIB,9
Vermont,Hawkins,GRN,7
Vermont,Kanye West,IND,5
Vermont,Riva,PSL,2
Vermont,Blankenship,CST,1
Vermont,Fuente,ALI,0
Vermont,Trump,REP,93
Vermont,Biden,DEM,79
Vermont,Jorgensen,LIB,2
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Hawkins,GRN,0
Vermont,Riva,PSL,0
Vermont,Kanye West,IND,0
Vermont,Biden,DEM,267
Vermont,Trump,REP,121
Vermont,Jorgensen,LIB,7
Vermont,Blankenship,CST,1
Vermont,Kanye West,IND,1
Vermont,Fuente,ALI,0
Vermont,Hawkins,GRN,0
Vermont,Riva,PSL,0
Vermont,Biden,DEM,509
Vermont,Trump,REP,146
Vermont,Hawkins,GRN,4
Vermont,Jorgensen,LIB,4
Vermont,Kanye West,IND,4
Vermont,Riva,PSL,1
Vermont,Blankenship,CST,0
Vermont,Fuente,ALI,0
Vermont,Biden,DEM,844
