broken year,industry,location,funded status,survival time,cause of failure
2018,Transportation,Hong Kong,Series A,555,burn out
2018,Finance,Zhejiang,Series A,800,supervision
2018,Finance,Zhejiang,Series A,1105,supervision
2018,Finance,Zhejiang,No Funding,1285,pivot gone bad
2018,Finance,Zhejiang,Angel Round,1104,supervision
2018,Finance,Shanghai,Angel Round,1497,no market need
2018,Enterprise Service,Zhejiang,Series A,1070,legal challenges
2018,Finance,Shanghai,Series A+,1374,supervision
2018,Finance,Zhejiang,Series A,1067,supervision
2018,Social Media,Hebei,Angel Round,1424,no business model
2018,Social Media,Beijing,No Funding,1424,no business model
2018,Local Business,Beijing,Series A,627,get outcompeted
2018,Social Media,Shanghai,No Funding,5362,lose focus
2018,Enterprise Service,Beijing,Series A,1323,no investor interest
2018,Game,Sichuan,No Funding,1885,not the right team
2018,Enterprise Service,Beijing,No Funding,1460,no business model
2018,Game,Guangdong,Series B,1280,founder
2018,E-Commerce,Beijing,Angel Round,3990,no business model
2018,Health,Beijing,No Funding,155,no business model
2018,Finance,Beijing,No Funding,4567,supervision
2018,Travel,Beijing,Series C,2071,no business model
2018,Social Media,Beijing,No Funding,1157,no business model
2018,Local Business,Beijing,Angel Round,153,pricing/cost issue
2018,Finance,Guangdong,Series B,1280,ran out of cash
2018,Travel,Beijing,Angel Round,976,no market need
2018,Entertainment,Beijing,Angel Round,579,failure to pivot
2018,Tool,Fujian,Angel Round,1065,no market need
2018,Enterprise Service,Shanghai,Angel Round,1157,get outcompeted
2018,E-Commerce,Zhejiang,Angel Round,1065,get outcompeted
2018,Local Business,Guangdong,Angel Round,1006,no business model
2018,Finance,Shanghai,Angel Round,1096,supervision
2018,Finance,Beijing,Angel Round,365,supervision
2017,Social Media,Beijing,No Funding,3592,no business model
2017,Travel,Shanghai,Series A+,1886,get outcompeted
2017,E-Commerce,Beijing,Angel Round,1705,ran out of cash
2017,Transportation,Beijing,Angel Round,2131,pricing/cost issue
2017,Finance,Shanghai,Series B,1521,supervision
2017,E-Commerce,Shanghai,Acquired,1978,pricing/cost issue
2017,Entertainment,Shanghai,No Funding,2252,no business model
2017,Health,Beijing,Angel Round,1644,lose focus
2017,Social Media,Beijing,Angel Round,1613,pivot gone bad
2017,Entertainment,Guangdong,Angel Round,1886,no business model
2017,E-Commerce,Shanghai,Angel Round,1825,no market need
2017,Travel,Beijing,Acquired,1735,get outcompeted
